,Age,Time,Mean_CP,Std_CP,Elo,OppElo Elo,WL,WhiteWL
258,16.0,9.0,15.333333333333334,21.98243100130812,2684.0,2686.0,0.0,0.0
259,16.0,9.0,8.727272727272727,11.495305365867646,2699.0,2507.0,1.0,1.0
260,16.0,9.0,40.12676056338028,115.00098503646018,2699.0,2692.0,1.0,-1.0
261,16.0,9.0,4.135135135135135,7.621750283153379,2699.0,2570.0,1.0,1.0
262,16.0,9.0,24.26,60.621882625510914,2699.0,2578.0,-1.0,1.0
263,16.0,9.0,12.689655172413794,16.36874951213846,2699.0,2701.0,-1.0,-1.0
264,16.0,9.0,42.125,84.29289214795436,2699.0,2641.0,1.0,1.0
265,16.0,9.0,46.680851063829785,74.34470431799099,2699.0,2547.0,0.0,0.0
266,16.0,9.0,38.392857142857146,50.37219933265239,2699.0,2437.0,1.0,1.0
267,16.0,9.0,34.25,59.605003231745656,2699.0,2629.0,0.0,0.0
268,16.0,9.0,23.452380952380956,42.05408966566075,2699.0,2583.0,0.0,0.0
269,16.0,9.0,21.25,24.28329819914444,2726.0,2338.0,1.0,-1.0
270,16.0,9.0,16.910714285714285,22.74385174520341,2726.0,2623.0,1.0,1.0
271,16.0,9.0,14.137931034482758,21.16216998380944,2726.0,2707.0,0.0,0.0
272,16.0,9.0,24.53846153846154,24.88272086349984,2726.0,2662.0,1.0,-1.0
273,16.0,9.0,11.862068965517242,16.92994839653564,2726.0,2651.0,-1.0,-1.0
