"Age","Elo","OppElo","Mean_CP","Std_CP","Time","WL","WhiteWL","Name"
18,2689,2542,6.43373493975904,10.5173408155924,11,"1/2","1/2","erigaisi"
18,2689,2641,26.758064516129,42.0899448620163,11,"1","1","erigaisi"
18,2689,2754,5.76666666666667,8.77175456570232,11,"1/2","1/2","erigaisi"
18,2689,2358,17.9583333333333,31.4804622511503,11,"1","1","erigaisi"
18,2689,2520,28.9347826086957,44.3388065455791,11,"1/2","1/2","erigaisi"
18,2689,2613,39.3478260869565,79.6199911779013,11,"1","1","erigaisi"
18,2689,2702,21,38.4431730092667,11,"1","1","erigaisi"
18,2689,2680,15.0810810810811,19.2070276177734,11,"1","0","erigaisi"
18,2689,2259,14.4615384615385,20.5424415012921,11,"1","1","erigaisi"
18,2689,2416,24.5526315789474,50.6277871403191,11,"1/2","1/2","erigaisi"
18,2689,2491,16.09375,23.0334390509999,11,"1/2","1/2","erigaisi"
18,2689,2622,33.8536585365854,34.6854155053747,11,"1","0","erigaisi"
18,2689,2682,22.2777777777778,39.1776985476695,11,"1","1","erigaisi"
18,2689,2735,29.5272727272727,48.317182951308,11,"1","0","erigaisi"
18,2689,2668,28.8030303030303,34.6894884087472,11,"1","0","erigaisi"
18,2689,2613,13.3877551020408,18.9074680203029,11,"1/2","1/2","erigaisi"
18,2689,2552,21.7368421052632,26.9316874605674,11,"1","0","erigaisi"
18,2689,2615,11.7894736842105,25.1623462734653,11,"1","1","erigaisi"
18,2689,2692,15.3,24.9249217478798,11,"1/2","1/2","erigaisi"
18,2689,2614,36.2272727272727,60.5919879715338,11,"1","1","erigaisi"
18,2689,2557,9.90909090909091,13.2248904446399,11,"1","1","erigaisi"
18,2725,2090,13.7428571428571,16.65566510603,11,"1/2","1/2","erigaisi"
18,2725,2549,26.54,29.6786943439091,11,"0","0","erigaisi"
18,2725,2292,35,91.2794182901591,11,"1/2","1/2","erigaisi"
